Date,A2A,AMP,AZM,BMED,BMPS,BAMI,BPE,BC,BZU,CPR,DIA,ENEL,ENI,RACE,FBK,G,HER,IP,ISP,INW,IG,IVG,LDO,MB,MONC,NEXI,PIRC,PST,PRY,REC,SPM,SRG,STLAM,STMMI,TIT,TEN,TRN,UCG,UNI
1990-02-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.41,NaN,NaN,NaN,NaN,NaN,NaN,7.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.27,NaN,NaN,NaN,NaN,NaN,NaN,5.41,NaN,NaN,NaN,0.54,NaN,NaN,NaN,NaN
1990-02-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.42,NaN,NaN,NaN,NaN,NaN,NaN,7.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.18,NaN,NaN,NaN,NaN,NaN,NaN,5.38,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-02-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.35,NaN,NaN,NaN,NaN,NaN,NaN,7.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.13,NaN,NaN,NaN,NaN,NaN,NaN,5.27,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN
1990-02-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.35,NaN,NaN,NaN,NaN,NaN,NaN,7.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.12,NaN,NaN,NaN,NaN,NaN,NaN,5.22,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN
1990-02-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.28,NaN,NaN,NaN,NaN,NaN,NaN,7.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.11,NaN,NaN,NaN,NaN,NaN,NaN,5.22,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN
1990-02-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.26,NaN,NaN,NaN,NaN,NaN,NaN,7.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.11,NaN,NaN,NaN,NaN,NaN,NaN,5.22,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN
1990-02-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.06,NaN,NaN,NaN,NaN,NaN,NaN,7.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.87,NaN,NaN,NaN,NaN,NaN,NaN,5.18,NaN,NaN,NaN,0.51,NaN,NaN,NaN,NaN
1990-02-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.96,NaN,NaN,NaN,NaN,NaN,NaN,7.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.99,NaN,NaN,NaN,NaN,NaN,NaN,5.23,NaN,NaN,NaN,0.51,NaN,NaN,NaN,NaN
1990-02-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.02,NaN,NaN,NaN,NaN,NaN,NaN,7.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.03,NaN,NaN,NaN,NaN,NaN,NaN,5.23,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN
1990-03-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.02,NaN,NaN,NaN,NaN,NaN,NaN,7.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.98,NaN,NaN,NaN,NaN,NaN,NaN,5.18,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN
